0,1,2,3,4,5,6,7,8,9,10,11,12
,Contrôle de l’acuité visuelle,,,,,,Visite médicale systématique,,,,,
Région,Urbain,,Rural,,Ensemble,,Urbain,,Rural,,Ensemble,
Province/préfecture,"Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée"
,,,,,,,,,,,,
Agadir-Ida -Ou-Tanane,20 149,16 317,10 952,9 191,31 101,25 508,20 149,16 317,10 952,9 191,31 101,25 508
Chtouka- Ait Baha,4 026,4 348,20 238,16 102,24 264,20 450,4 026,3 795,20 238,13 368,24 264,17 163
Inezgane- Ait Melloul,23 820,11 707,5 127,2 097,28 947,13 804,23 820,20 895,5 127,3 409,28 947,24 304
Taroudannt,17 747,0,35 195,0,52 942,0,17 747,15 360,35 195,20 599,52 942,35 959
Tata,3 114,0,5 093,0,8 207,0,3 114,1 164,5 093,2 762,8 207,3 926
Tiznit,3 615,2 811,5 212,3 869,8 827,6 680,3 615,2 819,5 212,3 936,8 827,6 755
Souss - Massa,72 471,35 183,81 817,31 259,154 288,66 442,72 471,60 350,81 817,53 265,154 288,113 615
Assa-Zag,1 192,450,219,120,1 411,570,1 192,723,219,205,1 411,928
Guelmim,6 187,6 898,2 630,3 174,8 817,10 072,6 187,5 634,2 630,917,8 817,6 551
Sidi Ifni,2 295,998,3 341,961,5 636,1 959,2 295,1 695,3 341,1 414,5 636,3 109
Tan-Tan,6 538,6 538,68,68,6 606,6 606,6 538,5 678,68,68,6 606,5 746
Guelmim –Oued Noun,16 212,14 884,6 258,4 323,22 470,19 207,16 212,13 730,6 258,2 604,22 470,16 334
Boujdour,4 712,2 683,,,4 712,2 683,4 712,4 385,,,4 712,4 385
Es-Semara,2 454,0,12,0,2 466,0,2 454,2 415,12,10,2 466,2 425
Laâyoune,11 850,0,506,0,12 356,0,11 850,11 264,506,0,12 356,11 264
Tarfaya,793,0,304,0,1 097,0,793,775,304,315,1 097,1 090
Laâyoune - Sakia El Hamra,19 809,2 683,822,0,20 631,2 683,19 809,18 839,822,325,20 631,19 164
Aousserd,,,208,0,208,0,,,208,141,208,141
Oued Ed-Dahab,5 564,5 199,39,38,5 603,5 237,5 564,5 399,39,38,5 603,5 437
Eddakhla-Oued Eddahab,5 564,5 199,247,38,5 811,5 237,5 564,5 399,247,179,5 811,5 578
Total,919 766,536 458,886 561,361 356,1 806 327,897 814,919 766,743 211,886 561,511 192,1 806 327,1 254 403
Source : DSSU/DP,,,,,,,,,,,,
